form_id,form_name,department,form_group,anonymous,published,new_forms_builder,is_pdf
1,z_TEST Softdocs,Unassigned,Test,False,False,False,False
2,Schedule of Classes (Add / Cancel / Change Section),Academics,Academics,False,True,False,False
3,Employee Action Form (EAF),Human Resources,Human Resources,False,True,False,False
4,Prerequisite/Assessment Exemption,Academics,Academics,False,True,False,False
5,Employee/Dependent Tuition Authorization Affidavit,Human Resources,Human Resources,False,True,False,False
6,z_DEV Softdocs Demonstration Form,Unassigned,Developer,False,False,False,False
7,Action Strategy Review Form,IE-AAQ,Curriculum Review,False,True,False,False
8,Review Final Signature Page,IE-AAQ,Curriculum Review,False,True,False,False
10,Dual Enrollment Authorization and FERPA Release Form,Unassigned,Admissions,True,True,False,False
12,Student Academic Grade Appeal Form,Academics,Academics,False,True,False,False
13,Change of Grade Request,Academics,Academics,False,True,False,False
15,Academics Data Utility Form,Unassigned,Utility Forms,False,True,False,False
16,W-4 Federal 2024 - No OCC User ID,Unassigned,Public use forms,False,False,False,False
18,W-4 Detroit - No OCC User ID,Human Resources,Public use forms,True,True,False,True
19,W-4 State of Michigan,Human Resources,Tax Forms,False,True,False,True
20,W-4 Pontiac - No OCC User ID,Human Resources,Public use forms,True,True,False,True
21,HR Background Check Authorization Form,Human Resources,Tax Forms,False,True,False,False
23,z_DEV Etrieve Integration Testing,Unassigned,Developer,False,False,False,False
24,Program Deactivation Form,IE-AAQ,Curriculum Review,False,True,False,False
25,Dual Enrollment Utility Form,Unassigned,Utility Forms,False,True,False,False
27,W-4 Detroit,Human Resources,Tax Forms,False,True,False,True
28,W-4 State of Michigan - No OCC User ID,Human Resources,Public use forms,True,True,False,True
29,W-4 Pontiac,Human Resources,Tax Forms,False,True,False,True
31,W-4 Federal 2024,Unassigned,Tax Forms,False,False,False,False
32,HR Background Check Authorization Form - No OCC User ID,Human Resources,Public use forms,True,True,False,False
33,Chosen First Name and Personal Pronoun Request,Human Resources,Human Resources,False,True,False,False
34,Employee Change of Information Request,Human Resources,Human Resources,False,True,False,False
35,Employee Exit Checklist,Human Resources,Human Resources,False,True,False,False
36,z_DEPRECATED Network Access Form,Human Resources,Deprecated,True,False,False,False
37,z_Canceled Student Employment Application,Human Resources,Human Resources,False,False,False,False
38,Course Proposal Form,Curriculum Instruction Committee,Curriculum & Instruction Committee,False,True,False,False
